target_ratio,accuracy,macro_f1,false_motion_rate,false_text_rate
0.2500,0.943000,0.942839,0.002000,0.055000
0.5000,0.938000,0.937776,0.001000,0.061000
0.7500,0.990000,0.989999,0.000000,0.010000
1.0000,0.996000,0.996000,0.001000,0.003000
