target_ratio,accuracy,macro_f1,false_motion_rate,false_text_rate
0.2500,0.945000,0.944857,0.002000,0.053000
0.5000,0.987000,0.986999,0.002000,0.011000
0.7500,0.995000,0.995000,0.002000,0.003000
1.0000,0.994000,0.994000,0.004000,0.002000
