run_name,encoder,head,input_dim,epochs_completed,best_epoch,summary_threshold,train_three_class_accuracy,val_three_class_accuracy,test_three_class_accuracy,test_row_decision_rate_at_threshold,test_row_decision_accuracy_at_threshold,test_first_decision_coverage_at_threshold,test_first_decision_accuracy_at_threshold,test_first_decision_correct_coverage_at_threshold,test_mean_first_decision_visible_ratio_at_threshold,test_median_first_decision_visible_ratio_at_threshold,test_forced_final_accuracy,elapsed_seconds
tfidf__logreg,tfidf,logreg,5497,60,60,0.7,0.9674166666666667,0.9146666666666666,0.938,0.7246666666666667,0.9963201471941122,0.8666666666666667,0.9923076923076923,0.86,0.42124489615384614,0.333333,0.9933333333333333,11.098745899973437
tfidf__mlp,tfidf,mlp,5497,19,4,0.7,0.9773333333333334,0.9266666666666666,0.944,0.7406666666666667,0.9945994599459946,0.8766666666666667,0.9923954372623575,0.87,0.41830173764258555,0.333333,0.99,4.073901100084186
minilm__logreg,minilm,logreg,384,60,60,0.7,0.9219166666666667,0.9126666666666666,0.9066666666666666,0.7006666666666667,0.9914367269267365,0.96,0.9861111111111112,0.9466666666666667,0.4958606736111111,0.333333,0.97,7.8689099999610335
minilm__mlp,minilm,mlp,384,44,29,0.7,0.991,0.9606666666666667,0.944,0.7766666666666666,0.9879828326180258,0.99,0.9730639730639731,0.9633333333333334,0.4712376565656566,0.333333,0.98,6.868550299899653
clip__logreg,clip,logreg,512,60,60,0.7,0.90425,0.8886666666666667,0.896,0.654,0.9989806320081549,0.9433333333333334,1.0,0.9433333333333334,0.5235181554770318,0.4,0.98,8.544296399923041
clip__mlp,clip,mlp,512,60,49,0.7,0.991,0.9606666666666667,0.954,0.7613333333333333,0.9956217162872154,0.9766666666666667,0.9897610921501706,0.9666666666666667,0.4753597952218431,0.333333,0.99,9.45593070005998
qwen3_0_6b__logreg,qwen3_0_6b,logreg,1024,60,60,0.7,0.935,0.9186666666666666,0.9146666666666666,0.7206666666666667,0.9972247918593895,0.9733333333333334,0.9931506849315068,0.9666666666666667,0.5008962260273973,0.333333,0.9866666666666667,8.887134299846366
qwen3_0_6b__mlp,qwen3_0_6b,mlp,1024,38,23,0.7,0.9860833333333333,0.9486666666666667,0.95,0.764,0.9921465968586387,0.98,0.9863945578231292,0.9666666666666667,0.47566766326530613,0.333333,0.9833333333333333,6.477817999897525
